ID,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15
1,5,5,3,5,5,5,5,3,4,5,5,5,3,5,5
10,5,4,2,4,5,5,3,3,5,3,4,3,3,3,5
100,4,5,1,4,4,2,5,1,1,5,4,4,1,5,5
1000,4,1,1,1,4,1,3,1,1,1,4,1,1,4,5
1001,4,2,1,5,5,5,2,1,2,5,5,4,1,5,5
1002,3,1,1,1,3,1,1,1,1,3,3,1,1,1,3
1003,5,4,1,5,5,5,1,1,3,5,4,1,1,5,5
1005,4,1,1,1,1,1,1,1,1,4,1,1,1,3,3
1006,4,2,3,4,2,4,2,3,2,4,2,3,4,4,5
1007,4,3,1,3,2,3,3,1,2,5,4,3,3,5,5
1008,4,3,2,4,3,4,4,3,3,4,4,4,3,4,4
1009,5,2,3,4,4,2,1,5,2,4,1,2,3,4,5
101,5,4,3,3,4,4,3,3,2,2,4,3,2,4,4
1010,5,4,5,3,5,3,5,5,2,5,4,4,5,5,5
1011,5,5,1,1,4,5,3,1,2,4,4,1,1,4,5
1012,5,5,4,5,5,5,4,5,5,5,5,4,4,5,5
1013,5,5,3,5,5,5,5,3,3,5,5,5,5,5,5
1014,5,5,3,5,5,5,5,3,5,5,5,4,4,5,5
1015,3,4,2,5,4,4,4,3,3,3,4,3,3,5,5
1016,4,5,1,2,2,4,5,1,4,1,2,4,1,1,2
1017,5,5,1,5,5,5,5,1,1,5,5,4,1,5,5
1018,4,4,1,4,4,4,4,2,2,4,4,4,3,3,4
1019,4,3,1,3,4,2,2,3,4,4,3,3,4,3,4
102,3,5,4,4,5,5,5,4,2,5,5,4,5,3,5
1020,5,4,3,3,5,4,4,3,4,5,4,4,3,4,5
1021,5,4,5,5,5,5,5,3,5,4,5,5,2,5,4
1022,4,4,1,5,5,3,5,1,1,3,5,1,1,4,5
1023,5,4,2,3,2,4,4,2,1,5,4,3,2,2,5
1024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1025,5,5,5,5,5,5,1,5,3,5,5,3,3,3,5
1026,5,4,1,4,3,4,2,1,2,4,5,3,1,3,5
1027,3,4,5,1,3,1,4,5,3,3,4,2,4,4,5
1028,1,5,1,1,5,4,5,5,5,1,5,5,1,4,5
1029,5,5,3,3,4,4,4,5,2,5,5,3,4,3,5
103,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1030,4,2,1,1,1,1,1,2,1,5,2,1,1,2,5
1031,4,2,3,2,4,4,3,4,4,4,2,2,4,4,4
1032,3,4,1,5,4,4,3,2,3,4,4,3,1,5,5
1033,2,2,1,1,1,1,1,1,1,3,1,1,1,1,2
1034,3,3,4,1,2,3,1,5,3,4,4,1,5,4,5
1035,4,1,4,1,1,4,1,1,1,5,4,1,1,1,5
1036,4,4,2,4,2,4,2,3,2,3,4,3,2,2,4
1038,5,5,1,5,5,5,5,5,5,5,5,5,3,5,5
1039,4,4,1,4,5,3,5,1,2,5,4,5,1,5,5
104,5,5,2,5,2,4,5,4,2,5,3,4,3,5,5
1040,4,2,4,5,5,3,3,5,4,4,5,3,2,4,5
1041,3,2,1,2,3,2,2,2,1,4,4,2,1,1,5
1042,4,4,1,4,3,4,5,1,1,1,3,4,1,5,5
1043,2,5,1,5,4,5,5,1,2,1,2,5,1,2,5
1044,2,3,1,1,2,2,1,1,1,2,1,1,1,2,4
1045,5,2,5,5,5,3,1,5,2,4,5,1,4,4,4
1046,5,5,1,1,1,4,5,1,1,1,5,5,1,5,5
1047,5,5,1,1,1,5,3,5,1,3,5,1,5,3,5
1048,5,2,1,2,5,3,1,1,2,3,3,1,1,2,5
1049,3,3,2,2,3,4,4,2,1,4,4,2,3,4,5
105,3,3,1,3,4,3,3,1,3,2,4,4,1,3,4
1050,4,4,3,3,4,4,3,3,2,3,4,3,3,4,4
1051,5,5,4,4,5,5,2,4,1,4,4,4,2,2,5
